filename,deepseek,gemini,kimi
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926.json,60,61,35
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923.json,26,16,7
飞机发动机故障的多参数预测模型_MinerU__20250913053628.json,11,22,14
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934.json,20,16,41
飞机性能参数预测的不确定性处理_MinerU__20250913053204.json,13,22,16
飞机操纵面故障的多参数预测模型_MinerU__20250913053608.json,6,20,9
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919.json,56,29,30
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946.json,13,12,11
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617.json,35,31,29
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620.json,27,35,18
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624.json,22,24,16
飞机空调冷却子系统故障预测_MinerU__20250913053938.json,23,29,12
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930.json,55,37,32
飞机维修系统的演变_MinerU__20250913053201.json,19,31,30
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943.json,10,29,15
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258.json,16,24,24
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301.json,14,26,14
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303.json,10,20,11
