=== 依存路径批处理开始 2025-09-14 16:15:22 ===
[DONE] 基于神经网络的军用飞机故障预报系统研究 stats={'total_pairs': 8, 'aligned_pairs': 4, 'path_found': 4, 'cross_sentence_pairs': 4, 'cross_sentence_path_found': 4}
[DONE] 基于神经网络的飞机供水系统故障预测研究 stats={'total_pairs': 11, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] 基于神经网络预测模型的歼击机结构故障检测方法 stats={'total_pairs': 9, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 2, 'cross_sentence_path_found': 2}
[DONE] 基于粗糙神经网络的航空电子设备故障预测研究 stats={'total_pairs': 9, 'aligned_pairs': 9, 'path_found': 9, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 基于组合预测法的航空设备故障预测研究 stats={'total_pairs': 8, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 1, 'cross_sentence_path_found': 1}
[DONE] 基于综合PHM方法的导弹维修保障综述 stats={'total_pairs': 14, 'aligned_pairs': 14, 'path_found': 14, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 基于网络的航空产品设计制造服务一体化技术研究 stats={'total_pairs': 18, 'aligned_pairs': 10, 'path_found': 10, 'cross_sentence_pairs': 8, 'cross_sentence_path_found': 8}
[DONE] 基于自适应多小波网络预测模型的飞控系统故障诊断仿真研究 stats={'total_pairs': 8, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 2, 'cross_sentence_path_found': 2}
[DONE] 基于蒙特卡罗模拟的航空发动机故障风险预测 stats={'total_pairs': 11, 'aligned_pairs': 11, 'path_found': 11, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 基于融合知识图谱的航空柱塞泵故障预测诊断方法 stats={'total_pairs': 17, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 11, 'cross_sentence_path_found': 11}
[DONE] 基于贝叶斯优化LSTM的发动机剩余寿命预测 stats={'total_pairs': 10, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] 基于逆跟踪控制的航空发动机气路健康参数估计修正方法研究 stats={'total_pairs': 14, 'aligned_pairs': 9, 'path_found': 9, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] 基于逻辑图的国产民机液压系统故障诊断与定位 stats={'total_pairs': 12, 'aligned_pairs': 4, 'path_found': 4, 'cross_sentence_pairs': 8, 'cross_sentence_path_found': 8}
[DONE] 基于遗传神经网络的航空装备故障预测 stats={'total_pairs': 12, 'aligned_pairs': 8, 'path_found': 8, 'cross_sentence_pairs': 4, 'cross_sentence_path_found': 4}
[DONE] 基于部件参数估计的航空发动机故障预测技术研究 stats={'total_pairs': 12, 'aligned_pairs': 12, 'path_found': 12, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[ALIGN_FAIL] 基于静电互相关灵敏度加权的气路碎片监测 | 本文 - 设计 - 8电极ESA | 实体至少一端未找到
[DONE] 基于静电互相关灵敏度加权的气路碎片监测 stats={'total_pairs': 12, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 6, 'cross_sentence_path_found': 6}
[DONE] 基于马氏距离的航空装备故障预测研究 stats={'total_pairs': 10, 'aligned_pairs': 10, 'path_found': 10, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[ALIGN_FAIL] 多机种一体化故障预测与健康管理技术应用研究 | 本文 - 优化 - PHM系统工作过程 | 实体至少一端未找到
[ALIGN_FAIL] 多机种一体化故障预测与健康管理技术应用研究 | 本文 - 提出 - 综合智能故障诊断方法 | 实体至少一端未找到
[ALIGN_FAIL] 多机种一体化故障预测与健康管理技术应用研究 | 本文 - 提出 - 维修任务预测算法 | 实体至少一端未找到
[ALIGN_FAIL] 多机种一体化故障预测与健康管理技术应用研究 | 本文 - 提出 - 飞机多机种自主式保障设计关键技术 | 实体至少一端未找到
[DONE] 多机种一体化故障预测与健康管理技术应用研究 stats={'total_pairs': 9, 'aligned_pairs': 2, 'path_found': 2, 'cross_sentence_pairs': 3, 'cross_sentence_path_found': 3}
[DONE] 多电飞机电力系统及其关键技术 stats={'total_pairs': 13, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 8, 'cross_sentence_path_found': 8}
[DONE] 大型客机液压能源系统 stats={'total_pairs': 13, 'aligned_pairs': 2, 'path_found': 2, 'cross_sentence_pairs': 11, 'cross_sentence_path_found': 11}
[DONE] 大型客机航电系统综合集成关键技术综述 stats={'total_pairs': 18, 'aligned_pairs': 4, 'path_found': 4, 'cross_sentence_pairs': 14, 'cross_sentence_path_found': 14}
[DONE] 大型客机运行监控与健康管理系统设计 stats={'total_pairs': 20, 'aligned_pairs': 11, 'path_found': 11, 'cross_sentence_pairs': 9, 'cross_sentence_path_found': 9}
[DONE] 大型客机飞控作动系统配置方案设计 stats={'total_pairs': 10, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 3, 'cross_sentence_path_found': 3}
